UNC5D	-2.349976513
ZBED6	-2.308922385
SLC22A24	-2.250975904
SLC6A19	-2.242736905
EML5	-2.190910027
BMP5	-2.181918236
CALCR	-2.153647291
NBEAL1	-2.114113549
ST8SIA6	-2.094001666
SLC5A8	-2.074177077
FOXI2	-2.031796219
TOX3	-2.030374863
ARHGAP5	-2.020588179
TAS2R3	-2.017736364
PEG3	-1.989367702
PRKG2	-1.966034748
GALNT4	-1.941157426
CCDC144A	-1.939081881
EDAR	-1.932885804
NCR3LG1	-1.897162128
USP37	-1.875157298
RAPH1	-1.863646149
CRYBG3	-1.829703059
ZNF366	-1.822646363
SHPRH	-1.814550423
FAM196B	-1.811980128
SLC13A1	-1.809349769
CERS6	-1.800472684
HAVCR1	-1.781954944
FREM1	-1.769031082
NPR3	-1.769010337
LIN7A	-1.763865851
CD302	-1.73415679
ESRRG	-1.691127192
CERKL	-1.689171812
DACT2	-1.688023393
ZNF770	-1.671123424
CKLF	-1.666428868
KLHL11	-1.665429988
PCDHAC2	-1.6631972
ZNF728	-1.662965013
SOSTDC1	-1.662193239
TAAR1	-1.657718843
CCDC85A	-1.655929845
GABRG1	-1.647698256
ENAM	-1.647518023
RAB39A	-1.626189463
APOLD1	-1.604566821
ACER2	-1.597775733
ZBTB20	-1.581527511
SLC18A2	-1.579960086
SIM1	-1.57232676
FLG	-1.572166895
F13A1	-1.558967134
GALR1	-1.558327374
G6PC	-1.555602987
FRMPD2	-1.550911779
FMN1	-1.549273495
MGAM	-1.535693544
MFAP3	-1.532253516
METTL24	-1.526710262
RAB11FIP1	-1.51658984
ZDHHC15	-1.516089297
CDH13	-1.512325076
RNF169	-1.511017627
ZNF354C	-1.509224198
ZSCAN23	-1.501657349
CNOT1	-1.498758191
CHRM3	-1.492560527
SLC10A6	-1.489792882
USP34	-1.487311364
EDA	-1.486189015
CD300LG	-1.48244442
KCTD16	-1.479864004
TBC1D14	-1.470082761
ZNF385B	-1.467319939
PTPRB	-1.466541749
ACAD11	-1.46610473
HIAT1	-1.46350544
CYP51A1	-1.460841189
TMPPE	-1.451794505
ILDR2	-1.451190614
AGTR1	-1.444980173
SLC16A12	-1.442216081
OPCML	-1.440030897
TRPM3	-1.438967516
KCNN3	-1.437582678
RPS6KA6	-1.437055906
CDON	-1.431694021
ASAP2	-1.431292788
RGS7BP	-1.430656869
PKHD1	-1.420627956
THSD7B	-1.420128198
UBE4A	-1.417413697
CNTNAP5	-1.416839742
SST	-1.415360847
CYBB	-1.413512795
SLC10A2	-1.412618324
PCDHGB2	-1.401813804
NLRP14	-1.401110973
NR3C2	-1.396087893
REL	-1.392001484
KIAA1324L	-1.389095904
NFAT5	-1.382961664
ADAMTSL3	-1.373647666
MYO9A	-1.370257791
ABCA8	-1.363984143
HLTF	-1.361582804
LDHAL6A	-1.359184265
HABP2	-1.357994589
HMCN1	-1.355058085
HMGCLL1	-1.354413056
PIEZO2	-1.352725068
KCNA3	-1.35200267
CD163	-1.351915116
LIFR	-1.350795359
TMTC1	-1.348354839
PCDH11Y	-1.347463187
CMYA5	-1.345399812
HECW2	-1.343175759
SCN4A	-1.340682055
COL25A1	-1.340492164
KIAA1147	-1.340061753
CD84	-1.33614245
PABPC4L	-1.335748589
SEPP1	-1.334765002
FMO2	-1.334250011
SORL1	-1.332574123
NOMO3	-1.332422244
ADCY2	-1.326222898
CR1	-1.324257319
GABRB3	-1.322724028
UGT2A3	-1.315931066
FLG2	-1.311944006
FLRT3	-1.310219241
TRHDE	-1.307939023
STAG1	-1.307799325
FAT3	-1.304403725
FAT4	-1.299187785
MS4A2	-1.29895933
C1orf111	-1.298743307
ZNF221	-1.295129608
UTRN	-1.293366697
DENND4C	-1.290168216
PPP1R16B	-1.289057968
GRIN2A	-1.288434061
SIGLEC6	-1.287449444
DNAJC6	-1.284173327
NBEA	-1.279427498
SPIRE1	-1.272410829
KIAA1109	-1.271124859
MAB21L3	-1.266319188
C1orf192	-1.266104738
MLNR	-1.265461143
HSPG2	-1.263610193
PCDHAC1	-1.263283813
FREM2	-1.258504991
NRIP1	-1.257023543
ANO3	-1.255138008
HTR1F	-1.25415638
TGFB2	-1.251603088
SHISA9	-1.248987488
EPHA4	-1.248239322
NETO1	-1.245046776
AMOT	-1.242787644
GABRB2	-1.240398209
DGKI	-1.239174942
NAIP	-1.238853668
FAM205A	-1.23786383
NIPAL1	-1.237131965
PBX1	-1.236010072
WDR72	-1.235076762
SLC17A4	-1.234565999
APOOL	-1.228654727
ZFYVE16	-1.227175762
EVC	-1.225512975
TRAPPC6B	-1.223904099
LRP2	-1.223198697
MMRN1	-1.223175766
CTNNA3	-1.218851274
TLR8	-1.217985826
PRKAA2	-1.21546284
AFF4	-1.215320963
AVPR1A	-1.215223258
TXNDC16	-1.21471705
ADCY1	-1.213387076
FLT1	-1.212964016
THSD7A	-1.210558737
ALPK3	-1.209900472
CDH9	-1.205994256
OPHN1	-1.205522444
TMOD2	-1.205304881
ACADSB	-1.204147394
PDK4	-1.203846557
ITGA2	-1.20381076
ATRNL1	-1.203411077
ANKRD33B	-1.202575458
ALG11	-1.200809699
ADRA1A	-1.19603285
COL21A1	-1.195424713
EPB41L4A	-1.192860509
ZDBF2	-1.191879934
CDKL5	-1.189688077
FCGR3B	-1.188243606
SV2C	-1.18730708
BEX1	-1.184948649
SMCR8	-1.182049283
TLL1	-1.180212876
FRMD3	-1.180209214
AQP4	-1.178629148
ABHD2	-1.178264284
TACR1	-1.177193002
P2RY12	-1.176599517
PTPN13	-1.176365911
SBF2	-1.176090428
FAM160A1	-1.176058805
ASH1L	-1.174316001
PCDHGB3	-1.174296594
SYDE2	-1.173992371
PCDH19	-1.171332921
KDR	-1.169032038
ITGA9	-1.168509861
VIL1	-1.167943588
SHISA6	-1.167456746
GRIK3	-1.166348132
ARHGAP20	-1.166086866
ASXL2	-1.164030377
ABCG2	-1.163182509
FHL5	-1.163051898
WWC2	-1.158230629
EGLN1	-1.155069861
ZDHHC2	-1.154392635
SLC38A4	-1.154274361
CHST9	-1.153926251
TSTD2	-1.153635259
TM6SF1	-1.153584804
FAM175A	-1.153447877
MKLN1	-1.153097726
PAIP2B	-1.151381764
ABCC4	-1.150114983
SOX6	-1.149079222
TMCC3	-1.148536348
ATP8A1	-1.147878561
AMOTL1	-1.146459579
RECQL	-1.144043126
ADCY7	-1.14396314
TACC1	-1.142957156
LRP6	-1.141422876
KIAA2018	-1.140724285
PROM1	-1.140311305
KAL1	-1.139869121
LONRF3	-1.139452966
ZNF471	-1.138624672
PCDH17	-1.138405401
ALDH6A1	-1.137020464
ATP11A	-1.136563121
RNF180	-1.135737117
